time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
4/19/2001,14,-27,0.0057,-0.04,31550,0.0818,166002,0.0818,2001,4,1
4/20/2001,14,-27,0.0091,-0.04,31450,0.0883,166002,0.0883,2001,4,1
4/19/2001,8,-37,0.0099,-0.08,34850,0.1002,166009,0.1002,2001,4,1
4/20/2001,8,-37,0.0269,-0.074,45300,0.1263,166009,0.1263,2001,4,1
4/21/2001,8,-38,0.0274,-0.079,47000,0.1475,166009,0,2001,4,
4/22/2001,8,-38,0.0279,-0.084,48750,0.1687,166009,0.1687,2001,4,1
4/23/2001,8,-38,0.0207,-0.09,46150,0.1513,166009,0.1513,2001,4,1
4/24/2001,8,-38,0.0118,-0.096,44700,0.1224,166009,0.1224,2001,4,1
4/21/2001,19,-36,0.0198,-0.166,33800,0.2149,166134,0.2149,2001,4,1
4/22/2001,18,-36,0.025,-0.162,45150,0.1942,166134,0.1942,2001,4,1
4/23/2001,18,-36,0.0339,-0.14867,42150,0.2321,166134,0,2001,4,
4/24/2001,18,-36,0.0429,-0.13533,39200,0.27,166134,0,2001,4,
4/25/2001,18,-36,0.0519,-0.122,36250,0.308,166134,0.308,2001,4,1
4/26/2001,18,-36,0.0659,-0.088,39050,0.3466,166134,0.3364,2001,4,1.0303210463733652
4/27/2001,18,-36,0.0654,-0.062,42900,0.3207,166134,0.3207,2001,4,1
4/28/2001,17,-36,0.0564,-0.034,54500,0.3083,166134,0.3083,2001,4,1
4/23/2001,17,-39,0.0807,-0.124,38450,0.432,166253,0.432,2001,4,1
4/24/2001,18,-39,0.1266,-0.132,45750,0.5297,166253,0.5297,2001,4,1
4/25/2001,18,-38,0.1415,-0.132,50400,0.5353,166253,0.5008,2001,4,1.0688897763578273
4/26/2001,18,-38,0.0887,-0.174,36750,0.4961,166253,0.4961,2001,4,1
4/24/2001,6,-24,0.0103,-0.04,42100,0.0997,166292,0.0997,2001,4,1
4/25/2001,6,-24,0.0099,-0.04,40300,0.1019,166292,0.1019,2001,4,1
4/26/2001,6,-24,0.0087,-0.04,38500,0.0972,166292,0.0972,2001,4,1
4/27/2001,6,-24,0.0099,-0.038,40050,0.0929,166292,0.0929,2001,4,1
4/28/2001,6,-24,0.008,-0.038,36650,0.0852,166292,0.0852,2001,4,1
4/24/2001,15,-39,0.0215,-0.116,36300,0.144,166301,0.144,2001,4,1
4/25/2001,15,-39,0.0278,-0.104,36500,0.1512,166301,0.1512,2001,4,1
4/26/2001,15,-39,0.0364,-0.084,42000,0.1808,166301,0.1808,2001,4,1
4/27/2001,15,-39,0.0389,-0.07,41050,0.187,166301,0.187,2001,4,1
4/28/2001,15,-39,0.036,-0.056,39100,0.1887,166301,0.1887,2001,4,1
4/29/2001,15,-39,0.0335,-0.038,36700,0.1679,166301,0.1639,2001,4,1.024405125076266
4/30/2001,15,-39,0.0349,-0.018,34600,0.1782,166301,0.1744,2001,4,1.021788990825688
5/1/2001,15,-39,0.0388,0.014,34650,0.1731,166301,0.1711,2001,5,1.011689070718878
4/26/2001,4,-31,0.0076,-0.018,30900,0.0593,166384,0.0593,2001,4,1
4/27/2001,4,-31,0.0063,-0.02,30700,0.06,166384,0.06,2001,4,1
4/28/2001,4,-31,0.0089,-0.02,37700,0.0632,166384,0.0632,2001,4,1
4/29/2001,4,-31,0.0065,-0.024,33900,0.0593,166384,0.0593,2001,4,1
4/30/2001,4,-31,0.0062,-0.026,36200,0.0585,166384,0.0585,2001,4,1
5/1/2001,3,-31,0.0053,-0.028,35050,0.0596,166384,0.0596,2001,5,1
4/29/2001,9,-32,0.0195,-0.072,36900,0.1301,166564,0.1301,2001,4,1
4/30/2001,9,-32,0.0233,-0.074,35600,0.1269,166564,0.1269,2001,4,1
5/1/2001,9,-33,0.0278,-0.07,47900,0.136,166564,0.136,2001,5,1
5/2/2001,9,-33,0.0192,-0.07,49650,0.1187,166564,0.1187,2001,5,1
5/3/2001,9,-32,0.0144,-0.078,37050,0.1018,166564,0.1018,2001,5,1
5/4/2001,9,-32,0.0184,-0.082,34950,0.1165,166564,0.1165,2001,5,1
5/2/2001,10,-39,0.0218,-0.054,32450,0.1755,166730,0.1755,2001,5,1
5/3/2001,10,-39,0.0244,-0.054,30350,0.1918,166730,0.1918,2001,5,1
5/4/2001,10,-39,0.0209,-0.056,34100,0.1736,166730,0.1736,2001,5,1
5/5/2001,10,-39,0.0227,-0.05,31950,0.1911,166730,0.1911,2001,5,1
5/5/2001,2,-29,0.0044,0.004,31250,0.0414,166865,0.0414,2001,5,1
5/6/2001,2,-29,0.0077,0.006,34650,0.048,166865,0.048,2001,5,1
5/5/2001,7,-22,0.0052,0,39400,0.0617,166867,0.0617,2001,5,1
5/6/2001,7,-22,0.0072,0.002,46550,0.0645,166867,0.0645,2001,5,1
